Summary,Issue Type,Priority,Description,Labels,Epic Name,Story Points
Authentication Expansion,Epic,High,"Google-only auth limits reach. LinkedIn OAuth is a prerequisite for the direct integration epic. Magic link removes the need for a Google account entirely.",auth,,
Add LinkedIn OAuth sign-in provider,Story,High,"Add LinkedIn as an OAuth provider via next-auth. Prerequisite for the LinkedIn Direct Integration epic. Allows users to sign in with their LinkedIn account.",auth,Authentication Expansion,3
Add GitHub OAuth sign-in provider,Story,Medium,"Add GitHub as an OAuth provider via next-auth. Broadens reach to technical users who prefer GitHub identity.",auth,Authentication Expansion,2
Add Magic Link / passwordless email sign-in,Story,Medium,"Implement email-based magic link sign-in so users without Google or LinkedIn accounts can access the app. Use a secure token stored in the VerificationToken table (already exists in schema).",auth,Authentication Expansion,3
Remove email allowlist for open self-service sign-up,Story,High,"Remove the ALLOWED_EMAILS env-var restriction to allow any user to sign up. Add optional domain-based restrictions as a replacement if needed. Currently blocks organic growth.",auth,Authentication Expansion,2
LinkedIn Direct Integration,Epic,High,"LinkedIn Optimizer currently outputs text the user must copy/paste manually. Direct publish via LinkedIn API removes that friction and is a meaningful differentiator no competing tool offers.",linkedin,,
LinkedIn OAuth account connection (store access + refresh token),Story,High,"Allow users to connect their LinkedIn account via OAuth. Store access token and refresh token in a new LinkedInConnection model. Show connected/disconnected status on billing or profile page.",linkedin,LinkedIn Direct Integration,5
Import LinkedIn profile sections as a base resume,Story,High,"After connecting LinkedIn OAuth, fetch profile data (summary, experience, education, skills) via LinkedIn API and convert it into a base resume in the app. Reduces onboarding friction dramatically.",linkedin,LinkedIn Direct Integration,5
Publish AI-generated headline directly to LinkedIn profile,Story,High,"After generating a LinkedIn headline in the LinkedIn Optimizer tool, add a Publish button that writes the headline to the user's LinkedIn profile via the LinkedIn API using the stored access token.",linkedin,LinkedIn Direct Integration,3
Publish AI-generated About section directly to LinkedIn profile,Story,High,"After generating a LinkedIn About section in the LinkedIn Optimizer tool, add a Publish button that writes the summary to the user's LinkedIn profile via the LinkedIn API.",linkedin,LinkedIn Direct Integration,3
Detect LinkedIn profile staleness vs last-optimized copy,Story,Medium,"Track when a user last published to LinkedIn and when their base resume was last updated. Show a nudge on the LinkedIn Optimizer page if the published copy is older than the current resume.",linkedin,LinkedIn Direct Integration,3
Low Match Score Guidance,Epic,High,"Score <50% currently shows red and says try aggressive tailoring — not actionable. Users need to understand what is missing from their resume and why before they can close the gap.",keyword-match,,
